CITY NAME,2010,2011,2012,2013,2014,2015, long, lat
"Fall River city, Massachusetts",88857,88742,88712,88755,88727,88777,-81.7229086, 41.4047742
"Fargo city, North Dakota",105928,107944,110877,113821,116104,118523,-112.3576567, 33.4353394
"Farmington Hills city, Michigan",79755,80214,80722,81229,81462,81330,-79.14224639999999, 37.4137536
"Fayetteville city, Arkansas",73970,75586,77003,78929,80822,82830,-121.8746789, 37.6624312
"Fayetteville city, North Carolina",200803,201500,201738,204149,203378,201963,-113.5684164, 37.0965278
"Federal Way city, Washington",89547,90723,92018,92872,93544,95171,-93.3563405, 45.0941315
"Fishers town, Indiana",77400,79993,81834,83864,86513,88658,-122.0838511, 37.3860517
"Flagstaff city, Arizona",66196,66198,68059,68292,68907,70320,-71.0994968, 42.3875968
"Flint city, Michigan",102209,101393,100469,99810,99015,98310,-117.7325848, 33.9898188
"Florissant city, Missouri",52278,52423,52435,52370,52327,52268,-122.2416355, 37.7652065
"Flower Mound town, Texas",64889,66072,67917,68583,69839,71253,-118.1170117, 33.8816818
"Folsom city, California",72190,72680,73269,73078,75327,76375,-73.7823549, 40.9114882
"Fontana city, California",197413,200231,201826,203571,205107,207460,-120.4829677, 37.3021632
"Fort Collins city, Colorado",144796,146287,149294,152702,157176,161175,-117.826166, 33.7458511
"Fort Lauderdale city, Florida",166013,168972,171260,172942,176058,178590,-112.3496021, 33.4355977
"Fort Myers city, Florida",62426,63831,65625,68045,70873,74013,-82.7873244, 27.9094665
"Fort Smith city, Arkansas",86327,87189,87637,87561,87497,88194,-80.09976569999999, 26.3184123
"Fort Wayne city, Indiana",253849,254636,254915,256779,258370,260326,-119.1372338, 46.2112458
"Fort Worth city, Texas",746547,762504,779375,794682,813425,833319,-80.60810889999999, 28.0836269
"Fountain Valley city, California",55494,56056,56503,56858,56985,56987,-122.2006786, 47.610377
"Franklin city, Tennessee",62861,64338,66311,68881,70646,72639,-76.34522179999999, 37.0298687
"Frederick city, Maryland",65449,65966,66401,66877,68331,69479,-98.23001239999999, 26.2034071
